Name,Enabled
Advanced Multistage Attack Detection,True
Create incidents based on Microsoft Defender for Cloud,True
Zinc Actor IOCs domains hashes IPs and useragent - October 2022,True
ADFS DKM Master Key Export,True
Azure AD Health Service Agents Registry Keys Access,True
Gain Code Execution on ADFS Server via SMB + Remote Service or Scheduled Task,True
NOBELIUM - suspicious rundll32.exe execution of vbscript,True
Email access via active sync,True
AAD Local Device Join Information and Transport Key Registry Keys Access,True
NOBELIUM - Script payload stored in Registry,True
ADFS Database Named Pipe Connection,True
TI map File Hash to Security Event,True
Group created then added to built in domain local or global group,True
Failed AzureAD logons but success logon to host,True
Starting or Stopping HealthService to Avoid Detection,True
Multiple RDP connections from Single System,True
Rare RDP Connections,True
NOBELIUM IOCs related to FoggyWeb backdoor,True
HAFNIUM New UM Service Child Process,True
Network endpoint to host executable correlation,True
New user created and added to the built-in administrators group,True
Azure AD Health Monitoring Agent Registry Keys Access,True
AD FS Remote HTTP Network Connection,True
Process executed from binary hidden in Base64 encoded file,True
AD account with Don't Expire Password,True
"Alert for  IOCs related to Windows/ELF malware - IP, Hash IOCs - September 2021",True
User account created and deleted within 10 mins,True
HAFNIUM UM Service writing suspicious file,True
Gain Code Execution on ADFS Server via Remote WMI Execution,True
Account added and removed from privileged groups,True
SecurityEvent - Multiple authentication failures followed by a success,True
Powershell Empire cmdlets seen in command line,True
Exchange OAB Virtual Directory Attribute Containing Potential Webshell,True
Failed host logons but success logon to AzureAD,True
Potential Fodhelper UAC Bypass,True
TI map Email entity to SecurityEvent,True
Scheduled Task Hide,True
Potential Kerberoasting,True
Process execution frequency anomaly,True
SOURGUM Actor IOC - July 2021,True
RDP Nesting,True
Failed logon attempts by valid accounts within 10 mins,True
SUNSPOT log file creation,True
Base64 encoded Windows process command-lines,True
User account added to built in domain local or global group,True
Sdelete deployed via GPO and run recursively,True
Potential re-named sdelete usage,True
AD user enabled and password not set within 48 hours,True
Multiple Password Reset by user,True
Solorigate Named Pipe,True
Non Domain Controller Active Directory Replication,True
Potential Build Process Compromise,True
AD FS Remote Auth Sync Connection,True
User account enabled and disabled within 10 mins,True
Malware in the recycle bin,True
Security Event log cleared,True
Security Service Registry ACL Modification,True
DEV-0586 Actor IOC - January 2022,True
New EXE deployed via Default Domain or Default Domain Controller Policies,True
Zinc Actor IOCs files - October 2022,True
Excessive Windows logon failures,True
Guest accounts added in Entra ID Groups other than the ones specified,True
Authentication Methods Changed for Privileged Account,True
User Account Created Using Incorrect Naming Format,True
Suspicious modification of Global Administrator user properties,True
Conditional Access Policy Modified by New User,True
Password spray attack against Azure AD Seamless SSO,True
Rare application consent,True
Workspace deletion attempt from an infected device,True
Dev-0530 IOC - July 2022,True
Mail.Read Permissions Granted to Application,True
Account Elevated to New Role,True
Cisco - firewall block but success logon to Azure AD,True
Successful logon from IP and failure from a different IP,True
Azure AD Role Management Permission Grant,True
Cross-tenant Access Settings Organization Inbound Collaboration Settings Changed,True
Privileged Role Assigned Outside PIM,True
Application ID URI Changed,True
Suspicious Login from deleted guest account,True
User agent search for log4j exploitation attempt,True
Detecting Impossible travel with mailbox permission tampering & Privilege Escalation attempt,True
Suspicious application consent similar to O365 Attack Toolkit,True
New User Assigned to Privileged Role,True
User account created without expected attributes defined,True
End-user consent stopped due to risk-based consent,True
Guest Users Invited to Tenant by New Inviters,True
Anomalous sign-in location by user account and authenticating application,True
Addition of a Temporary Access Pass to a Privileged Account,True
Attempts to sign in to disabled accounts,True
Distributed Password cracking attempts in AzureAD,True
External guest invitation followed by Azure AD PowerShell signin,True
Suspicious linking of existing user to external User,True
Authentication Method Changed for Privileged Account,True
Anomalous login followed by Teams action,True
User Accounts - Sign in Failure due to CA Spikes,True
Brute force attack against a Cloud PC,True
Authentications of Privileged Accounts Outside of Expected Controls,True
Known IRIDIUM IP,True
Brute Force Attack against GitHub Account,True
Failed AzureAD logons but success logon to AWS Console,True
Service Principal Assigned Privileged Role,True
IP with multiple failed Azure AD logins successfully logs in to Palo Alto VPN,True
Cross-tenant Access Settings Organization Outbound Collaboration Settings Changed,True
User added to Azure Active Directory Privileged Groups,True
Sign-ins from IPs that attempt sign-ins to disabled accounts,True
Failed AWS Console logons but success logon to AzureAD,True
Suspicious application consent similar to PwnAuth,True
Cross-tenant Access Settings Organization Added,True
User State changed from Guest to Member,True
Privileged Accounts - Sign in Failure Spikes,True
Privileged Account Permissions Changed,True
GitHub Signin Burst from Multiple Locations,True
TI Map IP Entity to SigninLogs,True
MFA Rejected by User,True
Admin promotion after Role Management Application Permission Grant,True
